id_lectura,sensor_id,ubicacion,fecha_hora,canal_transmision_id,ph,turbidez_ntu,temperatura_c,conductividad_us_cm,solidos_disueltos_totales_mg_l,oxigeno_disuelto_mg_l,plomo_mg_l,arsenico_mg_l,mercurio_mg_l,cadmio_mg_l,coliformes_fecales_nmp_100ml,escherichia_coli_nmp_100ml,presencia_parasitos,radiactividad_bq_l,caudal_l_s,indice_riesgo_normalizado
1,0004,Rio Coata,2024-07-02T23:00:00.000Z,1,6.18,42.47,18.46,771.5,366.8,5.71,0.0307,0.0618,0.00638,0.0155,435.0,573.0,0,0.3034,195.1,0.4079
2,0277,Cabanillas (nacimiento de agua),2025-12-02T04:00:00.000Z,2,7.38,3.96,8.29,92.4,36.4,7.89,0.0012,0.0,4.1E-4,6.0E-4,12.0,1.0,0,0.057,31.1,0.023
3,0105,Juliaca (urbano),2025-06-08T22:00:00.000Z,1,7.07,20.29,7.66,670.8,292.5,,0.0415,0.0107,6.5E-4,0.0114,4523.0,454.0,0,0.2708,79.7,0.198
4,0035,Rio Coata,2025-06-26T14:00:00.000Z,1,6.45,26.03,7.52,1234.3,671.2,4.36,0.0124,0.0741,0.0051,0.0181,1998.0,491.0,0,1.0221,122.4,0.4456
5,0124,Juliaca (urbano),2025-12-04T05:00:00.000Z,1,7.09,30.18,7.83,679.9,220.1,3.82,0.0245,0.0084,7.3E-4,0.0048,2445.0,1201.0,1,0.2402,63.3,0.152
6,0116,Juliaca (urbano),2025-01-10T05:00:00.000Z,2,7.03,21.86,9.79,944.3,389.4,6.37,0.0028,0.0118,0.00129,0.004,1698.0,995.0,1,0.0953,63.6,0.0958
7,0247,Cabanillas (nacimiento de agua),2025-06-17T00:00:00.000Z,1,7.26,2.37,4.82,147.1,74.7,,0.0018,0.0,2.7E-4,0.0,1.0,0.0,0,0.0773,19.4,0.021
8,0059,Rio Coata,2025-07-14T03:00:00.000Z,1,5.74,28.25,6.32,854.8,604.8,1.84,0.0785,0.0,1.9E-4,0.0494,1644.0,631.0,0,0.2556,197.8,0.3477
9,0002,Rio Coata,2025-04-26T00:00:00.000Z,1,5.72,60.94,11.31,950.5,776.2,3.88,0.0737,0.026,0.00329,0.0258,0.0,542.0,0,0.6065,131.6,0.4605
10,0195,Cabanillas (ciudad),2024-12-13T00:00:00.000Z,2,7.0,8.09,6.47,384.2,181.2,9.53,0.0093,0.0054,5.5E-4,9.0E-4,359.0,124.0,0,0.1234,22.3,0.0646
11,0055,Rio Coata,2025-08-13T17:00:00.000Z,2,6.3,93.11,15.34,937.2,441.6,,0.0687,0.0482,6.0E-5,0.0347,138.0,353.0,0,0.4677,202.7,0.4677
12,0235,Cabanillas (ciudad),2025-06-03T20:00:00.000Z,1,7.21,7.5,11.98,172.0,131.3,,0.0094,0.0014,3.6E-4,9.0E-4,144.0,0.0,0,0.05,68.9,0.0448
13,0023,Rio Coata,2025-06-21T07:00:00.000Z,1,5.04,65.6,12.24,682.9,294.0,3.85,0.0,0.0197,0.00417,0.0515,1350.0,465.0,0,0.8183,53.3,0.4148
14,0210,Cabanillas (ciudad),2024-09-19T02:00:00.000Z,2,7.51,12.62,8.64,419.0,177.1,6.63,0.0101,0.0016,8.2E-4,0.0013,0.0,154.0,0,0.0504,36.0,0.062
15,0264,Cabanillas (nacimiento de agua),2025-05-16T07:00:00.000Z,2,7.64,0.0,6.79,134.8,141.6,7.0,5.0E-4,0.0016,1.7E-4,0.0,0.0,5.0,0,0.0583,12.5,0.0142
16,0251,Cabanillas (nacimiento de agua),2025-09-04T01:00:00.000Z,2,7.21,2.79,8.59,171.5,51.4,8.84,6.0E-4,0.0,3.0E-5,6.0E-4,14.0,1.0,0,0.0661,13.0,0.0148
17,0304,Cabanillas (nacimiento de agua),2024-01-28T14:00:00.000Z,1,6.95,0.67,7.94,186.5,102.7,7.62,5.0E-4,3.0E-4,2.9E-4,9.0E-4,12.0,4.0,0,0.0173,15.8,0.0121
18,0111,Juliaca (urbano),2025-06-25T13:00:00.000Z,1,7.03,41.18,11.16,829.8,655.8,5.49,0.0245,0.0,0.0,0.007,2480.0,1229.0,0,0.1224,61.1,0.1275
19,0117,Juliaca (urbano),2024-08-27T15:00:00.000Z,1,6.66,54.35,10.53,472.3,440.3,3.39,0.0377,0.0231,0.0,0.0,2431.0,894.0,0,0.1008,85.3,0.1869
20,0314,Cabanillas (nacimiento de agua),2025-09-23T21:00:00.000Z,1,7.38,0.94,9.15,81.8,59.3,7.76,4.0E-4,0.0018,2.4E-4,7.0E-4,19.0,3.0,0,0.0516,18.2,0.0176
21,0109,Juliaca (urbano),2024-12-18T05:00:00.000Z,1,6.88,47.46,11.02,621.4,592.6,6.05,0.008,0.0255,6.7E-4,0.0077,240.0,1127.0,0,0.0976,57.9,0.1552
22,0238,Cabanillas (ciudad),2025-10-01T09:00:00.000Z,1,7.48,6.57,9.04,340.7,128.9,7.97,0.0107,0.0058,4.0E-5,0.0013,626.0,95.0,0,0.0582,47.8,0.0496
23,0057,Rio Coata,2024-09-17T14:00:00.000Z,1,6.62,55.3,10.41,581.0,478.4,4.74,0.0432,0.01,0.002,0.0279,604.0,588.0,0,0.8593,311.5,0.3793
24,0249,Cabanillas (nacimiento de agua),2025-02-09T11:00:00.000Z,2,7.43,2.29,8.55,205.4,55.6,8.44,0.0016,0.0028,4.3E-4,4.0E-4,10.0,0.0,0,0.0413,15.1,0.0249
25,0151,Juliaca (urbano),2025-10-07T06:00:00.000Z,2,6.81,38.45,11.44,714.9,487.9,5.46,0.012,0.0147,0.00143,0.0029,,0.0,0,0.1975,65.2,0.1499
26,0093,Juliaca (urbano),2024-07-01T23:00:00.000Z,1,6.22,39.01,12.27,912.6,419.7,5.95,0.0227,0.0115,2.4E-4,0.012,1273.0,426.0,1,0.2088,55.2,0.1684
27,0217,Cabanillas (ciudad),2024-07-11T19:00:00.000Z,2,7.0,2.27,7.71,272.4,314.0,8.61,0.0022,0.0068,6.7E-4,0.0015,394.0,181.0,0,0.143,38.7,0.0525
28,0094,Juliaca (urbano),2024-02-09T06:00:00.000Z,2,7.03,55.32,10.47,366.2,535.5,3.55,0.0093,0.0098,0.0,0.006,2946.0,1595.0,0,0.2495,79.6,0.1427
29,0253,Cabanillas (nacimiento de agua),2025-08-08T11:00:00.000Z,1,7.25,1.56,10.27,74.3,93.4,8.11,0.0016,4.0E-4,3.4E-4,5.0E-4,0.0,3.0,0,0.0354,21.4,0.0176
30,0238,Cabanillas (ciudad),2025-12-30T22:00:00.000Z,2,7.2,18.68,9.59,385.6,159.2,6.04,0.0097,0.0031,0.00111,0.0015,247.0,86.0,0,0.1224,53.1,0.0851
31,0224,Cabanillas (ciudad),2025-06-09T14:00:00.000Z,1,7.17,13.13,8.88,352.4,235.9,5.51,0.0058,0.0032,5.8E-4,0.002,230.0,37.0,0,0.1071,5.0,0.0609
32,0198,Cabanillas (ciudad),2025-10-21T15:00:00.000Z,2,6.66,5.26,10.78,368.1,179.4,5.81,0.0116,0.0065,3.7E-4,0.0025,27.0,45.0,0,0.191,19.0,0.077
33,0156,Juliaca (urbano),2025-06-11T09:00:00.000Z,1,6.98,26.33,6.73,489.0,507.8,4.55,0.0339,0.0264,0.0,0.0061,2303.0,184.0,0,0.1633,47.7,0.1767
34,0075,Rio Coata,2024-05-29T22:00:00.000Z,1,6.32,83.09,10.92,981.7,658.2,6.05,0.1511,0.0392,1.7E-4,0.0074,1108.0,375.0,1,0.7038,127.3,0.5695
35,0106,Juliaca (urbano),2024-01-18T21:00:00.000Z,2,6.41,37.51,13.24,570.9,552.2,8.15,0.0378,0.0227,0.00251,0.0082,3581.0,1520.0,0,0.135,75.5,0.2399
36,0119,Juliaca (urbano),2025-04-17T04:00:00.000Z,2,6.9,3.28,13.79,860.8,426.7,5.74,0.0234,0.0212,0.00226,0.0021,885.0,1462.0,0,0.0383,65.5,0.1383
37,0303,Cabanillas (nacimiento de agua),2025-03-28T01:00:00.000Z,1,7.31,1.34,5.41,160.5,101.7,6.45,0.001,6.0E-4,2.6E-4,0.0,0.0,4.0,0,0.0621,14.0,0.0171
38,0058,Rio Coata,2024-09-02T00:00:00.000Z,2,6.16,48.98,9.59,613.7,612.0,5.04,0.0781,0.0719,0.00528,0.0093,2129.0,204.0,0,1.034,219.8,0.5821
39,0063,Rio Coata,2024-12-01T09:00:00.000Z,2,5.8,13.08,15.93,1427.6,714.8,1.89,0.1183,0.0651,0.00743,0.0207,75.0,266.0,0,0.4359,159.0,0.6053
40,0275,Cabanillas (nacimiento de agua),2025-09-13T22:00:00.000Z,1,7.63,0.0,8.16,164.3,132.8,8.49,0.0013,0.0023,1.1E-4,0.0,0.0,4.0,0,0.0284,16.3,0.0122
